title,details,source,date
Notification of Standard Operating Procedures for regulatory review of Genome Edited Plants under SDN-1 and SDN-2 categories 2022,"Modern biotechnology has been advancing at a rapid pace with the advent of new molecular techniques and their potential applications. Plant genome editing is amongst one of the most promising technologies in terms of applied biological research and innovation with a huge economic potential in a wide range of sectors. Department of Biotechnology, Ministry of Science and Technology proactively initiated the development of draft Guidelines for the safety assessment of Genome Edited Plants through extensive deliberations.",Source : PIB,Last Modified : 10/28/2023
Agricultural Marketing Infrastructure,It is well known that small farmers do not have economic strength to retain produce with them till the market prices are favourable. A network of rural godowns will enable small farmers to enhance their holding capacity in order to sell their produce at remunerative prices and avoid distress sales.,"Source: Ministry of Agriculture and Farmers Welfare , Government of India",Last Modified : 3/1/2020
Agricultural Mechanization for in-situ Management of Crop Residues,"A special scheme to support the efforts of the Governments of Punjab, Haryana and Uttar Pradesh and NCT of Delhi to address air pollution and to subsidize machinery required for in-situ management of crop residue for the period 2018-19 to 2019-20 has been approved. It has been further extended with revised guidelines during 2022.","Source : Department of Agriculture , Cooperation and Farmers Welfare",Last Modified : 7/2/2023
Biotech-KISAN scheme,"Biotech-Krishi Innovation Science Application Network (Biotech-KISAN) is a Department of Biotechnology, Ministry of Science and Technology initiative that empowers farmers, especially women farmers. It aims to understand the problems of water, soil, seed and market faced by the farmers and provide simple solutions to them.",The  Programme will provide support  for following three components:,Last Modified : 7/3/2023
Ground Water Irrigation scheme,"Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) has Ground Water components which are being implemented by the Ministry of Water Resources, River Development and Ganga Rejuvenation (MoWR, RD & GR).",Funding pattern shall be made in the ratio of 90:10 (C:S) in case of NE/Hilly areas and 60:40 (C:S) in case of other areas.,Last Modified : 3/1/2020
Model Agriculture Land Leasing Act 2016,"The fear of losing right, title and ownership over one’s own land by leasing  out, discourages the  land  owners even when they are themselves unable to cultivate to lease  out their parcels of land. This is the cause behind substantive extent of land remaining fallow.  The  State  Revenue  laws  provide  for  right  to  ownership  by  proving  adverse  possession  for  a  certain period as prescribed by the actual tiller. The census 2011 reveals, that the extent of lease  in  the  country  is  around  6  per  cent.  In  the  absence  of  a  legal  provision  back-stopping  such  leasing, most of it is oral and therefore does not entitle the lessee to claim the status of a farmer  and access various benefits available fro m the government and credit institutions.","Source: Department of Agriculture, Cooperation and Farmers Welfare",Last Modified : 3/1/2020
National Agroforestry Policy,"Agroforestry is defined as a land use system which integrate trees and shrubs on farmlands and rural landscapes to enhance productivity, profitability, diversity and ecosystem  sustainability.  It  is  a  dynamic,  ecologically  based,  natural  resource management system that, through integration of woody perennials on farms and in the  agricultural  landscape,  diversifies  and  sustains  production  and  builds  social institutions.",Source : Central Agroforestry Research Institute,Last Modified : 3/1/2020
National Certification System for Tissue Culture Raised Plants,"National Certification System for Tissue Culture Raised Plants (NCS-TCP) is a unique quality management system established by Department of  Biotechnology (DBT), Govt. of India, under the ""Seeds Act, 1966"" of the  Ministry of Agriculture and Farmers' Welfare for ensuring production and distribution of  quality tissue culture planting materials. It is being implemented by Department of Biotechnology (DBT), Govt. of  India since year 2006, as per the Gazette of India Notification under  the Seeds Act. 1966.",Source : NCS TCP website,Last Modified : 3/1/2020
Policy on Promotion of Organic Fertilizers,The Policy on Promotion of Organic Fertilizers was approved by the Government of India during July 2023.,Source : Ministry of Chemicals and Fertilizers,Last Modified : 9/13/2023
Pradhan Mantri Annadata Aay SanraksHan Abhiyan,Pradhan Mantri Annadata Aay SanraksHan Abhiyan  (PM-AASHA) is an umbrella scheme aimed at ensuring remunerative prices to the  farmers for their produce.,Source : PIB,Last Modified : 7/3/2023
Pradhan Mantri KISAN Samman Nidhi,"The Government with a view to augment the income of the farm families is implementing a Central Sector Scheme, namely,""Pradhan Mantri KIsan SAmman Nidhi (PM-KISAN)"".  The Scheme is in effect from 01.12.2018.  The scheme was officially launched on 24th February, 2019.",Source : PM KISAN website,Last Modified : 7/3/2023
Pradhan Mantri Kisan Sampada Yojana,"The Central Sector Scheme - SAMPADA (Scheme for Agro-Marine Processing and Development of Agro-Processing Clusters) was approved by the cabinet in May 2017 for the period of 2016-20 coterminous with the 14th Finance Commission cycle. The scheme has now been renamed as the ""Pradhan Mantri Kisan Sampada Yojana (PMKSY)"". The continuation of the Central Sector Scheme – Pradhan Mantri Kisan SAMPADA Yojana (Scheme for Agro-Marine Processing and Development of Agro-Processing Clusters) with an allocation of Rs. 4600 crore is approved till 31.03.2026.",Source : Ministry of Food Processing Industries .,Last Modified : 8/9/2023
Pradhan Mantri Krishi Sinchai Yojana,"Out of about 141 m.Ha of net area sown in the country, about 65 million hectare (or 45%) is presently covered under irrigation. Substantial dependency on rainfall makes cultivation in unirrigated areas a high risk, less productive profession. Empirical evidences suggest that assured or protective irrigation encourages farmers to invest more in farming technology and inputs leading to productivity enhancement and increased farm income.",Source : Ministry of Agriculture and Farmers Welfare,Last Modified : 12/27/2021
"Scheme for Conservation, Development and Sustainable Management of Medicinal Plants","The ""Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants "" was initated during 2008. The current phase of the scheme has been approved with an outlay of Rs. 322.41 Crores for a period of five years from 2021-22 to 2025-26.",Source : National Medicinal Plants Board,Last Modified : 10/12/2023
Schemes on Seeds,Scheme/,"Source : Seednet Portal, Ministry of Agriculture, Government of India",Last Modified : 3/4/2020
